img_size,feature_count,train_r2,test_r2,r2_gap,rmse_test,duration_sec,converged_epoch,acc_within_5_pct,learning_rate,max_depth,rate_drop,skip_drop,subsample
32x32,1026,0.07692500787840717,0.007801862845384644,0.06912314503302253,0.33047495050051745,2.552631139755249,1,0.5555555555555556,0.1,7,0.05,0.5,0.9
32x32,1026,0.10247586239541806,0.0030274282200377645,0.0994484341753803,0.3312691152035922,2.773970365524292,2,1.1111111111111112,0.1,7,0.05,0.3,0.5
32x32,1026,0.024699936691523927,0.0024622412421898554,0.02223769544933407,0.33136300066629887,2.6806743144989014,0,0.0,0.1,7,0.05,0.3,0.6
32x32,1026,0.07217964455630232,0.013125049051508908,0.05905459550479342,0.3295872520148557,2.5812132358551025,1,1.1111111111111112,0.1,7,0.05,0.3,0.7
32x32,1026,0.07499026225131611,0.00023632429422348888,0.07475393795709262,0.3317324982148206,2.567319869995117,1,1.1111111111111112,0.1,7,0.05,0.3,0.8
32x32,1026,0.07373593250013977,0.007702289339309498,0.06603364316083027,0.33049153273480325,2.4995737075805664,1,0.5555555555555556,0.1,7,0.05,0.3,0.9
32x32,1026,0.10685839901255456,0.0016325641977729122,0.10522583481478165,0.33150077346287954,2.788301467895508,2,1.1111111111111112,0.1,7,0.05,0.2,0.5
32x32,1026,0.028347173731258946,0.003155195468776295,0.02519197826248265,0.33124788758872087,2.774744987487793,0,0.0,0.1,7,0.05,0.2,0.6
32x32,1026,0.07796011475769438,0.013784883154538408,0.06417523160315597,0.3294770509848913,2.7127907276153564,1,0.5555555555555556,0.1,7,0.05,0.2,0.7
32x32,1026,0.08240331350121421,-0.0004620766918181918,0.0828653901930324,0.33184834652090583,2.761540412902832,1,0.5555555555555556,0.1,7,0.05,0.2,0.8
32x32,1026,0.08080704168951358,0.008062360710769267,0.07274468097874431,0.33043156517897365,2.611677646636963,1,0.5555555555555556,0.1,7,0.05,0.2,0.9
32x32,1026,0.10623308108782747,0.005861570515947823,0.10037151057187965,0.330797922702499,2.876016855239868,2,1.6666666666666667,0.1,7,0.05,0.1,0.5
32x32,1026,0.027079264725441088,0.0029231662548285797,0.024156098470612508,0.3312864365758071,2.6441943645477295,0,0.0,0.1,7,0.05,0.1,0.6
32x32,1026,0.11839995015279026,0.02413128056012348,0.09426866959266678,0.32774421990073654,2.824047803878784,2,0.5555555555555556,0.1,7,0.05,0.1,0.7
32x32,1026,0.08185861344235068,-0.00010185343016266835,0.08196046687251335,0.3317885990008668,2.5756325721740723,1,0.5555555555555556,0.1,7,0.05,0.1,0.8
32x32,1026,0.13329923532868293,0.014625199556550061,0.11867403577213287,0.3293366536380211,2.674454927444458,2,1.6666666666666667,0.1,7,0.05,0.1,0.9
32x32,1026,0.10939413608483495,0.0010296410005661283,0.10836449508426882,0.3316008565246864,2.997865915298462,2,1.1111111111111112,0.1,7,0.1,0.5,0.5
32x32,1026,0.029705852305344838,0.00339307227753749,0.026312780027807348,0.33120836243325547,2.8229095935821533,0,0.0,0.1,7,0.1,0.5,0.6
32x32,1026,0.15697223876773925,0.01867633931057089,0.13829589945716836,0.32865896077563883,2.7812294960021973,3,1.1111111111111112,0.1,7,0.1,0.5,0.7
32x32,1026,0.08304101393102037,-0.0008596136653360453,0.08390062759635641,0.3319142705014882,2.6346802711486816,1,0.5555555555555556,0.1,7,0.1,0.5,0.8
32x32,1026,0.08120749233306457,0.008007070044005693,0.07320042228905888,0.33044077418882073,2.7250137329101562,1,0.5555555555555556,0.1,7,0.1,0.5,0.9
32x32,1026,0.10248770932209872,0.0031959144973712217,0.0992917948247275,0.33124112212739315,2.8774967193603516,2,1.1111111111111112,0.1,7,0.1,0.3,0.5
32x32,1026,0.024290945866190405,0.0023797071249386237,0.02191123874125178,0.3313767085118611,2.6725330352783203,0,0.0,0.1,7,0.1,0.3,0.6
