nutrient,accuracy,macro_f1,weighted_f1,duration_sec,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,65.11223316192627,0.8,0.05,6,150,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,61.64188098907471,0.8,0.05,6,150,0.2,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,61.57977557182312,0.8,0.05,6,150,0.2,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,169.0808699131012,0.8,0.05,6,250,0.1,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,169.11286687850952,0.8,0.05,6,250,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,170.53223037719727,0.8,0.05,6,250,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,160.08942461013794,0.8,0.05,6,250,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,160.70333099365234,0.8,0.05,6,250,0.2,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,161.77030611038208,0.8,0.05,6,250,0.2,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,331.0801649093628,0.8,0.05,6,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,331.37719988822937,0.8,0.05,6,350,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,331.9739599227905,0.8,0.05,6,350,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,314.0644907951355,0.8,0.05,6,350,0.2,0.5,0.7
